,F-stat,p-value,Significant (5%),Direction
1,0.00735705900918895,0.9316532308526355,False,NVDA → ^NDX
2,1.0411012506510477,0.35321284924658813,False,NVDA → ^NDX
3,0.6965756020840513,0.5540828308219838,False,NVDA → ^NDX
4,0.6816795413494826,0.6046140410099315,False,NVDA → ^NDX
5,0.9747649064074786,0.43169258514993347,False,NVDA → ^NDX
6,0.8293490475708974,0.5470034424588281,False,NVDA → ^NDX
7,0.7191647132137596,0.6557993577880127,False,NVDA → ^NDX
8,0.9274840031741892,0.49229363158654804,False,NVDA → ^NDX
9,0.8350844830914526,0.583659707929252,False,NVDA → ^NDX
10,0.7856228774534375,0.6428567403489631,False,NVDA → ^NDX
1,36.71689618434029,1.563718704288452e-09,True,^NDX → NVDA
2,18.81466542190574,7.717595680698859e-09,True,^NDX → NVDA
3,12.599545237929474,3.548403581880503e-08,True,^NDX → NVDA
4,9.347717719502429,1.6870366039128405e-07,True,^NDX → NVDA
5,8.369559163383432,7.306933584021641e-08,True,^NDX → NVDA
6,6.811607952853321,3.5006823368359016e-07,True,^NDX → NVDA
7,5.966402072026279,6.573525699403686e-07,True,^NDX → NVDA
8,5.180762878915973,1.9419752648036427e-06,True,^NDX → NVDA
9,4.527460003418844,6.209764546332706e-06,True,^NDX → NVDA
10,4.0838568190003555,1.3383658770057609e-05,True,^NDX → NVDA
